approach,reference,dataset_type,model_name,outer_fold,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,features,params
add_news_abs_sentiment,deduplicated,lag_1,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_abs_sentiment,deduplicated,lag_1,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_news_abs_sentiment,deduplicated,hybrid,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__C"": 10.0}"
add_news_abs_sentiment,deduplicated,hybrid,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_abs_sentiment,deduplicated,hybrid,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_news_abs_sentiment,deduplicated,lag_1,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__C"": 10.0}"
add_news_abs_sentiment,deduplicated,lag_1,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_abs_sentiment,deduplicated,lag_1,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_sentiment_surprise_20,deduplicated,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__C"": 0.1}"
add_sentiment_surprise_20,deduplicated,hybrid,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_surprise_20,deduplicated,hybrid,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_sentiment_surprise_20,deduplicated,lag_1,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__C"": 0.1}"
add_sentiment_surprise_20,deduplicated,lag_1,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_surprise_20,deduplicated,lag_1,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_sentiment_surprise_20,deduplicated,hybrid,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__C"": 0.1}"
add_sentiment_surprise_20,deduplicated,hybrid,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_surprise_20,deduplicated,hybrid,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_sentiment_surprise_20,deduplicated,lag_1,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__C"": 0.1}"
add_sentiment_surprise_20,deduplicated,lag_1,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_surprise_20,deduplicated,lag_1,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_sentiment_surprise_20,deduplicated,hybrid,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__C"": 10.0}"
add_sentiment_surprise_20,deduplicated,hybrid,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_surprise_20,deduplicated,hybrid,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_sentiment_surprise_20,deduplicated,lag_1,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__C"": 10.0}"
add_sentiment_surprise_20,deduplicated,lag_1,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_surprise_20,deduplicated,lag_1,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_sentiment_history_ready,deduplicated,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__C"": 0.1}"
add_sentiment_history_ready,deduplicated,hybrid,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_history_ready,deduplicated,hybrid,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_sentiment_history_ready,deduplicated,lag_1,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__C"": 0.1}"
add_sentiment_history_ready,deduplicated,lag_1,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_history_ready,deduplicated,lag_1,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_sentiment_history_ready,deduplicated,hybrid,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__C"": 0.1}"
add_sentiment_history_ready,deduplicated,hybrid,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_history_ready,deduplicated,hybrid,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_sentiment_history_ready,deduplicated,lag_1,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__C"": 0.1}"
add_sentiment_history_ready,deduplicated,lag_1,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_history_ready,deduplicated,lag_1,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_sentiment_history_ready,deduplicated,hybrid,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__C"": 10.0}"
add_sentiment_history_ready,deduplicated,hybrid,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_history_ready,deduplicated,hybrid,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_sentiment_history_ready,deduplicated,lag_1,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__C"": 10.0}"
add_sentiment_history_ready,deduplicated,lag_1,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_sentiment_history_ready,deduplicated,lag_1,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_news_log_surprise_20,deduplicated,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__C"": 0.1}"
add_news_log_surprise_20,deduplicated,hybrid,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_log_surprise_20,deduplicated,hybrid,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_news_log_surprise_20,deduplicated,lag_1,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__C"": 0.1}"
add_news_log_surprise_20,deduplicated,lag_1,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_log_surprise_20,deduplicated,lag_1,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_news_log_surprise_20,deduplicated,hybrid,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__C"": 0.1}"
add_news_log_surprise_20,deduplicated,hybrid,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_log_surprise_20,deduplicated,hybrid,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
add_news_log_surprise_20,deduplicated,lag_1,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__C"": 0.1}"
add_news_log_surprise_20,deduplicated,lag_1,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_log_surprise_20,deduplicated,lag_1,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_news_log_surprise_20,deduplicated,hybrid,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__C"": 10.0}"
add_news_log_surprise_20,deduplicated,hybrid,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_log_surprise_20,deduplicated,hybrid,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,23,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
add_news_log_surprise_20,deduplicated,lag_1,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__C"": 10.0}"
add_news_log_surprise_20,deduplicated,lag_1,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
add_news_log_surprise_20,deduplicated,lag_1,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
drop_news_sentiment_std,enhanced,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__C"": 0.1}"
drop_news_sentiment_std,enhanced,hybrid,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_sentiment_std,enhanced,hybrid,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
drop_news_sentiment_std,enhanced,lag_1,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,32,"{""model__C"": 0.1}"
drop_news_sentiment_std,enhanced,lag_1,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,32,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_sentiment_std,enhanced,lag_1,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,32,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
drop_news_sentiment_std,enhanced,hybrid,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__C"": 0.1}"
drop_news_sentiment_std,enhanced,hybrid,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_sentiment_std,enhanced,hybrid,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
drop_news_sentiment_std,enhanced,lag_1,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,32,"{""model__C"": 0.1}"
drop_news_sentiment_std,enhanced,lag_1,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,32,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_sentiment_std,enhanced,lag_1,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,32,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
drop_news_sentiment_std,enhanced,hybrid,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__C"": 0.1}"
drop_news_sentiment_std,enhanced,hybrid,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_sentiment_std,enhanced,hybrid,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
drop_news_sentiment_std,enhanced,lag_1,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,32,"{""model__C"": 10.0}"
drop_news_sentiment_std,enhanced,lag_1,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,32,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_sentiment_std,enhanced,lag_1,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,32,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
drop_news_abs_sentiment,enhanced,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__C"": 0.1}"
drop_news_abs_sentiment,enhanced,hybrid,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_abs_sentiment,enhanced,hybrid,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
drop_news_abs_sentiment,enhanced,lag_1,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,32,"{""model__C"": 0.1}"
drop_news_abs_sentiment,enhanced,lag_1,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,32,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_abs_sentiment,enhanced,lag_1,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,32,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
drop_news_abs_sentiment,enhanced,hybrid,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__C"": 0.1}"
drop_news_abs_sentiment,enhanced,hybrid,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_abs_sentiment,enhanced,hybrid,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,26,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
drop_news_abs_sentiment,enhanced,lag_1,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,32,"{""model__C"": 0.1}"
drop_news_abs_sentiment,enhanced,lag_1,random_forest,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,32,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
drop_news_abs_sentiment,enhanced,lag_1,hist_gradient_boosting,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,32,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
drop_news_abs_sentiment,enhanced,hybrid,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__C"": 0.1}"
drop_news_abs_sentiment,enhanced,hybrid,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,26,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
