dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,approach
hybrid,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5092053263014008,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
hybrid,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5149728524511835,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
lag_1,logistic_regression,2,"{""model__C"": 10.0}",0.5125259700951524,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
lag_1,random_forest,2,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5100297546567234,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
lag_1,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5016316077059241,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
lag_1,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5058946054712644,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
lag_1,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5076989444856791,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_ticker
base,dummy,3,{},0.5,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
base,logistic_regression,3,"{""model__C"": 10.0}",0.5059086876337733,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
base,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5084286958503904,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5083488443224962,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5122476866417829,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.511956793429155,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.5082900690300586,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5117463163435961,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5152710205405594,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
hybrid,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5073925546644964,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5201847184861917,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.5081254001098516,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
lag_1,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5089224882912058,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5136267915446745,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
lag_1,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5053326705329798,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_ticker
